City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bluff,100,NZ,1583805411,97,-46.6,168.33,51.01,8.99
Roald,41,NO,1583805412,100,62.58,6.13,41.0,8.05
Talnakh,20,RU,1583805414,62,69.49,88.4,-14.8,8.95
Cockburn Town,60,TC,1583805415,73,21.46,-71.14,74.53,28.9
Denpasar,20,ID,1583805416,84,-8.65,115.22,86.0,6.93
Diego de Almagro,94,CL,1583805417,59,-26.37,-70.05,61.63,0.74
Andijan,75,UZ,1583805418,48,40.78,72.34,46.0,2.24
Vaini,75,TO,1583805419,74,-21.2,-175.2,84.2,9.17
Severo-Kuril'sk,100,RU,1583805421,88,50.68,156.12,27.07,16.62
Tiksi,78,RU,1583805279,86,71.69,128.87,-26.27,3.09
Lorengau,100,PG,1583805426,75,-2.02,147.27,84.43,16.24
Busselton,73,AU,1583805220,32,-33.65,115.33,79.0,2.66
Wahiawā,90,US,1583805306,77,21.5,-158.02,78.8,8.05
Shubarshi,38,KZ,1583805429,73,48.59,57.19,30.0,7.56
East London,94,ZA,1583805224,87,-33.02,27.91,71.01,6.31
Tuatapere,100,NZ,1583805295,97,-46.13,167.68,51.01,8.99
Barcelos,20,PT,1583805433,100,41.54,-8.62,46.99,2.48
Diré,19,ML,1583805434,12,12.28,-10.97,74.86,0.92
Santa Rosa,40,PH,1583805435,70,14.31,121.11,87.8,4.7
Hilo,20,US,1583805259,61,19.73,-155.09,77.0,12.75
Punta Arenas,40,CL,1583805240,61,-53.15,-70.92,50.0,12.75
Olinda,38,BR,1583805438,69,-8.01,-34.86,82.4,5.82
Victoria Point,75,AU,1583805440,78,-27.58,153.3,77.0,13.87
Cape Town,20,ZA,1583805441,77,-33.93,18.42,64.0,2.24
Anadyr,40,RU,1583805442,70,64.75,177.48,1.4,13.42
Malinyi,100,TZ,1583805443,97,-8.93,36.13,72.7,1.72
San Quintín,100,MX,1583805145,86,30.48,-115.95,56.43,6.08
Camaná,93,PE,1583805445,83,-16.62,-72.71,68.2,4.32
Bredasdorp,75,ZA,1583805447,87,-34.53,20.04,63.0,2.24
Hithadhoo,27,MV,1583805448,77,-0.6,73.08,83.7,13.78
Jinchang,0,CN,1583805449,20,38.5,102.17,35.44,8.52
Nantucket,1,US,1583805450,81,41.28,-70.1,48.99,18.34
Saint Paul Harbor,75,US,1583805451,69,57.79,-152.41,37.4,14.99
Ancud,71,CL,1583805452,89,-41.87,-73.82,51.94,3.98
Chai Badan,2,TH,1583805453,62,15.2,101.13,89.01,13.06
Comodoro Rivadavia,100,AR,1583805186,87,-45.87,-67.5,59.0,7.65
Hermanus,87,ZA,1583805456,87,-34.42,19.23,63.0,3.0
Saldanha,100,ZA,1583805457,77,-33.01,17.94,62.6,6.93
Rikitea,7,PF,1583805458,83,-23.12,-134.97,78.53,12.15
Albany,40,US,1583805183,32,42.6,-73.97,59.0,3.36
Qaanaaq,0,GL,1583805460,67,77.48,-69.36,-29.4,4.79
Mataura,100,NZ,1583805244,97,-46.19,168.86,51.01,8.99
Sistranda,75,NO,1583805463,93,63.73,8.83,37.99,3.36
Orzhytsya,22,UA,1583805464,88,49.79,32.7,46.67,6.51
Zhangaözen,0,KZ,1583805465,31,43.3,52.8,36.86,11.74
Ushuaia,90,AR,1583805183,87,-54.8,-68.3,46.4,26.4
Nikolskoye,38,RU,1583805216,80,59.7,30.79,35.6,6.71
Sawtell,90,AU,1583805468,78,-30.38,153.1,75.2,12.75
Barrow,1,US,1583805469,75,71.29,-156.79,-16.6,5.82
Esperance,40,AU,1583805296,72,-33.87,121.9,68.0,9.17
Butaritari,100,KI,1583805213,79,3.07,172.79,84.74,16.75
Naviraí,0,BR,1583805473,78,-23.07,-54.19,70.0,1.88
Atuona,0,PF,1583805219,67,-9.8,-139.03,81.86,15.19
Kanjiža,100,RS,1583805475,68,46.07,20.05,40.86,6.8
Belmonte,75,BR,1583805476,94,-15.86,-38.88,75.2,4.7
Neuquén,0,AR,1583805478,25,-38.95,-68.06,71.02,10.33
Antofagasta,72,CL,1583805468,77,-23.65,-70.4,68.0,8.05
Hobart,20,AU,1583805480,45,-42.88,147.33,69.01,4.7
Loandjili,75,CG,1583805481,88,-4.76,11.86,78.8,2.24
Yellowknife,20,CA,1583805450,65,62.46,-114.35,10.0,4.7
Uglovskoye,100,RU,1583805483,94,51.36,80.19,26.38,11.77
Dikson,68,RU,1583805484,90,73.51,80.55,-13.32,23.4
Kota Belud,40,MY,1583805486,94,6.35,116.43,82.0,5.82
Rødbyhavn,99,DK,1583805487,87,54.65,11.35,42.01,7.0
Zonguldak,81,TR,1583805488,76,41.25,31.83,49.1,6.2
Katsuura,90,JP,1583805489,93,35.13,140.3,60.01,5.82
Itaituba,100,BR,1583805490,98,-4.28,-55.98,73.24,0.96
Río Cuarto,20,AR,1583805491,82,-33.13,-64.35,68.0,10.29
Wilmington,90,US,1583805492,72,34.23,-77.94,62.6,6.93
Sittwe,0,MM,1583805363,51,20.15,92.9,74.88,9.4
Kapaa,90,US,1583805220,64,22.08,-159.32,77.0,8.05
Balakhninskiy,100,RU,1583805496,92,58.01,114.28,13.57,4.47
Ponta do Sol,40,PT,1583805497,72,32.67,-17.1,60.8,17.22
Castro,0,BR,1583805247,97,-24.79,-50.01,60.44,5.14
Moree,75,AU,1583805499,53,-29.47,149.85,77.0,12.75
Hasaki,75,JP,1583805500,93,35.73,140.83,60.8,3.36
Nicoya,43,CR,1583805502,51,10.15,-85.45,84.2,26.4
Solon,75,US,1583805503,54,41.39,-81.44,60.8,12.39
Kavaratti,38,IN,1583805258,65,10.57,72.64,81.99,5.26
Jamestown,20,US,1583805240,47,42.1,-79.24,57.2,8.05
Port Alfred,75,ZA,1583805462,98,-33.59,26.89,66.0,2.55
Lebu,30,CL,1583805233,83,-37.62,-73.65,53.35,4.65
Vila Velha,75,BR,1583805463,88,-20.33,-40.29,77.0,5.82
Sitka,90,US,1583805267,80,57.05,-135.33,39.2,11.41
Saint George,1,US,1583805275,37,37.1,-113.58,63.0,5.82
Ust-Nera,98,RU,1583805512,93,64.57,143.2,-15.27,4.25
Ulety,65,RU,1583805513,80,51.36,112.48,14.49,6.42
Guerrero Negro,100,MX,1583805461,52,27.98,-114.06,65.84,9.82
Oktyabr'skiy,100,RU,1583805515,96,54.48,53.47,34.09,0.45
Kamaishi,75,JP,1583805516,100,39.27,141.88,51.8,5.82
Poum,52,NC,1583805517,77,-20.23,164.02,82.13,16.8
Pisco,40,PE,1583805467,88,-13.7,-76.22,73.4,13.87
Vilyuysk,100,RU,1583805520,92,63.76,121.62,-6.36,4.38
Mar del Plata,100,AR,1583805463,77,-38.0,-57.56,62.01,9.17
Avarua,100,CK,1583805486,74,-21.21,-159.78,84.2,6.93
Sakhipur,0,BD,1583805523,72,24.3,90.18,66.2,2.64
Rocha,0,UY,1583805524,92,-34.48,-54.33,59.36,5.86
Dunedin,100,NZ,1583805525,90,-45.87,170.5,55.0,20.33
Lantawan,20,PH,1583805526,70,10.62,123.98,84.2,8.05
Torbay,5,CA,1583805528,55,47.67,-52.73,12.99,23.04
Vicksburg,75,US,1583805529,100,32.35,-90.88,64.4,11.41
Ilulissat,96,GL,1583805530,61,69.22,-51.1,14.0,21.92
Mahajanga,20,MG,1583805531,94,-15.72,46.32,77.0,2.24
Carnarvon,75,AU,1583805234,83,-24.87,113.63,78.8,10.29
Naze,75,JP,1583805533,77,28.37,129.48,69.8,18.34
Hualmay,0,PE,1583805249,71,-11.1,-77.61,71.4,4.0
Mahébourg,75,MU,1583805535,94,-20.41,57.7,77.0,19.46
Tuktoyaktuk,75,CA,1583805537,75,69.45,-133.04,-14.8,6.93
Taksimo,100,RU,1583805538,85,56.34,114.88,6.15,2.98
Quatre Cocos,75,MU,1583805484,94,-20.21,57.76,77.0,19.46
Maceió,98,BR,1583805317,78,-9.67,-35.74,77.0,4.7
Formosa do Rio Preto,95,BR,1583805541,97,-11.05,-45.19,71.55,2.24
Srednekolymsk,100,RU,1583805249,90,67.45,153.68,-8.88,5.46
Rundu,1,NA,1583805543,76,-17.93,19.77,63.48,1.01
Ust-Tsilma,100,RU,1583805544,93,65.44,52.15,32.43,10.49
Bima,75,ID,1583805546,64,-8.47,118.72,87.13,2.57
Vardø,33,NO,1583805547,81,70.37,31.11,35.31,29.82
Majene,34,ID,1583805548,51,-3.54,118.97,91.6,0.22
Borazjan,0,IR,1583805549,17,29.27,51.22,61.18,9.69
Riyadh,0,SA,1583805260,50,24.69,46.72,55.4,2.24
Turaif,0,SA,1583805551,58,31.67,38.66,55.4,10.29
Saskylakh,0,RU,1583805456,92,71.92,114.08,-28.59,3.49
Boyolangu,100,ID,1583805554,73,-8.12,111.89,84.67,7.05
Port Elizabeth,90,ZA,1583805555,93,-33.92,25.57,64.4,10.29
Lalibela,100,ET,1583805556,55,12.03,39.03,60.04,1.05
Albemarle,1,US,1583805557,66,35.35,-80.2,60.8,6.53
Ucluelet,90,CA,1583805261,75,48.93,-125.55,45.0,10.29
Faanui,88,PF,1583805559,75,-16.48,-151.75,83.32,10.8
Norman Wells,75,CA,1583805560,65,65.28,-126.83,3.2,3.36
Fairbanks,75,US,1583805334,71,64.84,-147.72,8.6,3.36
Ribeira Grande,100,PT,1583805563,83,38.52,-28.7,58.17,17.18
Khani,100,GE,1583805482,40,41.96,42.96,62.6,29.97
Srandakan,80,ID,1583805443,71,-7.94,110.25,84.33,8.57
Dwārka,0,IN,1583805566,72,22.24,68.97,73.38,13.73
Shelburne,90,CA,1583805567,71,44.08,-80.2,55.4,17.22
Ghorāwal,0,IN,1583805568,28,24.77,82.78,71.55,5.19
Paracale,0,PH,1583805570,80,14.28,122.79,80.33,8.01
Itaqui,0,BR,1583805571,35,-29.13,-56.55,79.86,8.28
Santa Barbara,90,US,1583805341,45,34.42,-119.7,64.99,3.36
Tasiilaq,100,GL,1583805573,44,65.61,-37.64,21.2,28.86
Kavieng,100,PG,1583805483,70,-2.57,150.8,84.7,9.66
Champerico,0,GT,1583805575,73,14.3,-91.92,78.75,6.49
Puerto Ayora,0,EC,1583805577,100,-0.74,-90.35,81.0,7.0
Grande Prairie,20,CA,1583805578,46,55.17,-118.8,30.2,12.75
Yangi Marg`ilon,40,UZ,1583805579,51,40.43,71.72,42.8,4.7
Port Lincoln,0,AU,1583805580,44,-34.73,135.87,74.61,9.48
Vanderhoof,100,CA,1583805581,78,54.02,-124.02,28.49,5.44
Coquimbo,75,CL,1583805582,88,-29.95,-71.34,62.6,6.93
Boda,57,CF,1583805583,74,4.32,17.47,73.76,4.27
Cidreira,0,BR,1583805584,77,-30.18,-50.21,75.31,12.24
Arraial do Cabo,20,BR,1583805321,94,-22.97,-42.03,73.4,2.24
Manta,75,EC,1583805587,88,-0.95,-80.73,78.8,2.24
Dawlatabad,0,AF,1583805588,55,36.41,64.91,40.14,1.61
Mizdah,52,LY,1583805589,44,31.45,12.98,47.77,7.16
Bethel,1,US,1583805590,66,41.37,-73.41,63.0,6.93
Havelock,20,US,1583805591,82,34.88,-76.9,59.0,6.93
Jalu,0,LY,1583805592,76,29.03,21.55,52.66,3.18
Meulaboh,98,ID,1583805376,74,4.14,96.13,84.33,8.84
New Norfolk,20,AU,1583805595,45,-42.78,147.06,69.01,4.7
Cornwall,90,CA,1583805505,46,45.02,-74.73,53.6,13.87
Dingle,1,PH,1583805323,63,11.0,122.67,85.41,7.92
Mitsamiouli,100,KM,1583805598,73,-11.38,43.28,83.1,2.06
Cabo San Lucas,90,MX,1583805471,57,22.89,-109.91,80.01,5.82
Souillac,75,MU,1583805600,94,-20.52,57.52,77.0,19.46
Inta,100,RU,1583805602,95,66.03,60.17,31.57,24.65
Atar,0,MR,1583805603,13,20.52,-13.05,70.92,14.9
Kangaatsiaq,100,GL,1583805604,98,68.31,-53.46,10.11,24.0
Aklavik,90,CA,1583805606,69,68.22,-135.01,-11.2,8.05
Nha Trang,20,VN,1583805507,89,12.25,109.18,84.2,4.72
Biak,2,ID,1583805608,71,-0.91,122.88,84.33,4.05
Port Moresby,40,PG,1583805488,62,-9.44,147.18,89.6,17.22
Lodja,100,CD,1583805610,99,-3.48,23.43,68.9,0.96
Kahului,90,US,1583805611,100,20.89,-156.47,78.8,20.8
Arrecife,0,ES,1583805512,77,28.96,-13.55,62.6,9.17
Sokolo,100,ML,1583805614,8,14.73,-6.12,77.04,14.0
George Town,20,MY,1583805482,74,5.41,100.34,86.0,2.24
Shingū,75,JP,1583805616,82,33.73,135.98,59.0,18.34
Kirakira,100,SB,1583805617,82,-10.45,161.92,80.65,11.25
Bengkulu,100,ID,1583805618,59,-3.8,102.27,87.12,3.36
Moerai,100,PF,1583805620,73,-22.43,-151.33,80.38,8.66
Upernavik,71,GL,1583805621,98,72.79,-56.15,-27.89,8.84
Zyryanka,100,RU,1583805501,89,65.75,150.85,-9.06,8.46
Kortkeros,75,RU,1583805623,100,61.81,51.58,33.8,6.71
Klaksvík,100,FO,1583805624,80,62.23,-6.59,41.0,16.11
Havøysund,75,NO,1583805471,90,71.0,24.66,37.4,11.41
Mae Sai,0,TH,1583805626,77,20.43,99.88,71.01,4.7
Chokurdakh,95,RU,1583805628,94,70.63,147.92,-21.62,5.79
Nuuk,100,GL,1583805632,42,64.18,-51.72,26.6,12.75
Yenagoa,77,NG,1583805633,92,4.92,6.26,78.37,3.56
Merbes-le-Château,75,BE,1583805634,93,50.32,4.17,44.6,21.92
Khatanga,0,RU,1583805635,95,71.97,102.5,-26.41,4.94
North Platte,1,US,1583805636,75,41.12,-100.77,43.0,4.7
Kargasok,83,RU,1583805637,92,59.06,80.86,1.49,15.32
Ouricuri,57,BR,1583805638,86,-7.88,-40.08,72.81,2.01
Taywarah,100,AF,1583805640,92,33.35,64.42,22.87,3.56
Vila,100,PT,1583805641,100,42.03,-8.16,50.0,1.12
Iqaluit,20,CA,1583805642,68,63.75,-68.51,-20.2,16.11
Coahuayana Viejo,40,MX,1583805643,78,18.73,-103.68,77.0,5.82
Leningradskiy,100,RU,1583805644,87,69.38,178.42,-8.77,2.19
Bayan,97,CN,1583805645,84,46.08,127.4,27.81,10.85
Valdivia,20,CL,1583805646,67,-39.81,-73.25,59.0,3.36
Greece,75,US,1583805648,72,43.21,-77.69,57.0,4.7
Lavrentiya,26,RU,1583805649,95,65.58,-171.0,-8.88,5.53
Deming,1,US,1583805650,50,32.27,-107.76,64.4,3.67
Port Hedland,0,AU,1583805651,55,-20.32,118.57,91.4,4.7
Les Cayes,0,HT,1583805518,69,18.2,-73.75,78.37,2.26
Bilma,0,NE,1583805653,21,18.69,12.92,67.86,7.76
Saint-Philippe,36,RE,1583805654,88,-21.36,55.77,78.8,25.28
Ossora,100,RU,1583805656,92,59.24,163.07,14.11,6.91
Constitución,0,CL,1583805657,57,-35.33,-72.42,59.7,6.44
Mayo,1,US,1583805472,41,38.89,-76.51,64.99,9.17
Bubaque,100,GW,1583805659,68,11.28,-15.83,79.7,12.1
Laramie,20,US,1583805425,44,41.31,-105.59,48.2,13.87
Cayenne,20,GF,1583805371,78,4.93,-52.33,78.8,9.17
Tura,0,IN,1583805662,33,25.52,90.22,77.41,3.18
Otradnoye,60,RU,1583805663,80,59.78,30.82,35.6,6.71
Anloga,20,GH,1583805665,83,5.79,0.9,84.2,9.17
Dakar,10,SN,1583805403,88,14.69,-17.44,71.6,17.22
Chico,40,US,1583805667,39,39.73,-121.84,66.2,8.05
Charagua,45,BO,1583805668,53,-19.8,-63.22,76.15,1.74
Jasper,90,US,1583805669,87,37.2,-94.35,50.0,9.17
Shorāpur,0,IN,1583805670,49,16.52,76.75,79.72,6.62
Dalvik,90,IS,1583805672,92,65.97,-18.53,23.0,8.05
Lázaro Cárdenas,37,MX,1583805673,80,17.96,-102.2,74.84,3.2
Ranong,20,TH,1583805674,94,9.97,98.63,78.8,2.71
Namikupa,100,TZ,1583805675,97,-10.83,39.6,71.92,0.31
Sioux Falls,1,US,1583805646,79,43.55,-96.7,28.99,4.7
Chui,0,UY,1583805677,91,-33.7,-53.46,67.14,6.82
Narsaq,100,GL,1583805473,49,60.92,-46.05,23.0,6.93
Padang,13,ID,1583805680,56,-0.95,100.35,82.27,2.86
Katubao,40,PH,1583805681,70,5.89,124.83,86.0,9.17
Margate,75,GB,1583805682,93,51.38,1.39,52.0,18.34
Deputatsky,72,RU,1583805683,89,69.3,139.9,-20.22,1.45
Kirkuk,98,IQ,1583805684,28,35.47,44.39,56.48,8.75
Maningrida,0,AU,1583805685,68,-12.07,134.27,83.71,3.87
Alegrete,0,BR,1583805687,37,-29.78,-55.79,77.02,4.47
Susuman,92,RU,1583805688,81,62.78,148.17,-8.1,2.46
Manyana,0,BW,1583805689,48,-23.4,21.72,67.62,7.25
São João da Barra,0,BR,1583805690,84,-21.64,-41.05,75.72,7.31
Prattville,1,US,1583805691,59,32.46,-86.46,64.4,4.7
Kungurtug,100,RU,1583805692,81,50.6,97.52,18.72,1.39
Verāval,38,IN,1583805693,63,20.9,70.37,72.99,7.31
Brae,98,GB,1583805695,93,60.4,-1.35,42.8,14.99
San Patricio,75,MX,1583805495,83,19.22,-104.7,80.6,5.82
Atyrau,7,KZ,1583805598,68,47.12,51.88,26.6,4.47
Mount Gambier,0,AU,1583805494,49,-37.83,140.77,68.0,11.41
Lüderitz,0,NA,1583805699,88,-26.65,15.16,62.6,12.75
Puerto Escondido,5,MX,1583805700,83,15.85,-97.07,82.4,3.2
Kurikka,75,FI,1583805701,93,62.62,22.42,39.0,6.93
Dāhānu,7,IN,1583805703,72,19.97,72.73,75.42,10.96
Port Hardy,90,CA,1583805704,52,50.7,-127.42,44.6,2.24
Grand Gaube,75,MU,1583805705,94,-20.01,57.66,77.0,19.46
Along,0,IN,1583805706,57,28.17,94.77,69.21,0.36
Grindavik,100,IS,1583805707,58,63.84,-22.43,28.4,17.22
Gambēla,45,ET,1583805711,53,8.25,34.58,79.18,2.42
Pangnirtung,100,CA,1583805713,97,66.15,-65.71,-28.28,2.39
Onega,100,RU,1583805714,93,63.91,38.14,33.93,8.57
Banda Aceh,100,ID,1583805421,70,5.56,95.32,84.16,3.2
Diamantino,100,BR,1583805716,85,-14.41,-56.45,73.35,3.2
Cap Malheureux,75,MU,1583805717,94,-19.98,57.61,77.0,19.46
Whitley Bay,75,GB,1583805718,87,55.04,-1.45,50.0,18.34
Visnes,100,NO,1583805720,86,59.36,5.22,42.01,19.46
Adrar,14,MR,1583805721,13,20.5,-10.07,66.43,12.53
Saint-Pierre,2,RE,1583805722,88,-21.34,55.48,78.8,25.28
Panabá,67,MX,1583805723,71,21.28,-88.27,73.24,12.37
Yeppoon,75,AU,1583805724,61,-23.13,150.73,82.4,12.75
Isla Mujeres,75,MX,1583805725,64,21.23,-86.73,75.2,6.93
Perth,92,AU,1583805608,39,-31.93,115.83,84.99,8.05
Arona,0,ES,1583805497,63,28.1,-16.68,68.0,3.36
Awjilah,0,LY,1583805729,76,29.11,21.29,52.66,3.18
Aswān,0,EG,1583805730,30,24.09,32.91,66.47,9.82
Khandyga,100,RU,1583805731,85,62.67,135.6,-0.31,5.12
Glens Falls,40,US,1583805732,49,43.31,-73.64,57.0,3.18
Jönköping,75,SE,1583805734,93,57.78,14.16,39.99,6.93
Teahupoo,75,PF,1583805735,62,-17.83,-149.27,87.8,6.93
Bilibino,98,RU,1583805552,92,68.05,166.44,-3.82,1.52
Xai-Xai,0,MZ,1583805737,96,-25.05,33.64,68.23,3.56
Bayir,75,TR,1583805718,93,37.27,28.22,53.6,11.41
Isangel,40,VU,1583805739,66,-19.55,169.27,87.8,9.17
Caucayá,51,CO,1583805740,88,-0.19,-74.78,74.98,1.1
Sachīn,40,IN,1583805741,78,21.08,72.88,73.4,3.36
Nabire,59,ID,1583805743,64,-3.37,135.48,86.52,6.96
Quryq,0,KZ,1583805744,58,43.2,51.65,47.77,25.59
